순위,선수명,팀명,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,윌커슨,롯데,3.99,1,1,17,0,791,3034,0.27,35,3,3,5,0,3,0
2,박세웅,롯데,4.78,0,0,14,0,759,2926,0.275,33,0,3,5,0,10,0
3,엔스,LG,4.19,0,0,13,0,714,2906,0.263,29,3,9,6,0,4,0
4,후라도,키움,3.36,0,0,23,0,779,2894,0.254,27,4,7,4,0,3,1
5,곽빈,두산,4.24,0,0,17,0,716,2892,0.229,29,1,6,7,0,11,1
6,헤이수스,키움,3.68,0,0,20,0,728,2832,0.258,31,2,3,3,1,6,1
7,쿠에바스,KT,3.97,0,0,19,0,721,2799,0.238,36,3,5,8,4,11,1
8,엄상백,KT,4.88,0,0,9,0,675,2716,0.266,26,3,5,5,0,2,0
9,원태인,삼성,3.66,1,0,13,0,670,2693,0.245,29,3,6,2,1,3,0
10,김광현,SSG,4.99,0,0,13,0,685,2660,0.264,27,0,5,3,1,8,0
11,양현종,KIA,4.1,3,0,15,0,727,2620,0.257,37,6,2,1,0,2,0
12,코너,삼성,3.43,1,1,13,0,663,2604,0.226,17,3,2,4,0,9,0
13,류현진,한화,3.87,0,0,16,0,679,2599,0.287,22,1,4,4,0,1,0
14,하영민,키움,4.37,0,0,9,0,671,2539,0.28,33,6,2,7,0,7,0
15,손주영,LG,3.79,0,0,11,0,637,2532,0.279,16,0,6,5,0,6,0
16,하트,NC,2.69,0,0,17,0,631,2465,0.215,16,1,3,1,0,2,0
17,레예스,삼성,3.81,0,0,12,0,617,2429,0.278,21,3,5,3,0,4,0
18,벤자민,KT,4.49,0,0,10,0,619,2422,0.242,24,4,6,4,2,4,0
19,네일,KIA,2.53,0,0,13,0,642,2398,0.259,27,1,3,1,0,3,1
20,반즈,롯데,3.16,0,0,17,0,601,2312,0.245,16,4,5,4,0,5,0
21,임찬규,LG,3.83,0,0,11,0,577,2225,0.276,29,1,3,5,1,1,0
22,오원석,SSG,5.03,0,0,2,0,550,2208,0.261,14,1,2,2,1,3,0
23,최원태,LG,4.26,0,0,10,0,554,2117,0.263,20,1,4,8,0,5,0
24,신민혁,NC,4.31,0,0,10,0,524,2003,0.284,24,3,2,6,0,2,1
25,엘리아스,SSG,4.08,0,0,10,0,525,1947,0.265,14,0,10,2,0,3,0
26,앤더슨,SSG,4.07,0,0,9,0,479,1946,0.233,13,1,2,1,0,5,1
27,최원준,두산,6.46,0,0,3,0,490,1929,0.283,24,2,2,2,1,1,0
28,문동주,한화,5.17,0,0,7,0,502,1899,0.327,25,3,5,2,1,8,1
29,김시훈,NC,4.61,0,0,3,0,470,1864,0.27,25,1,1,5,0,1,1
30,송영진,SSG,5.8,0,0,3,0,456,1815,0.283,19,2,5,3,0,8,2
31,켈리,LG,4.51,2,1,11,0,495,1813,0.29,18,1,5,8,0,9,0
32,카스타노,NC,4.35,0,0,12,0,476,1783,0.269,23,4,4,5,0,0,1
33,황동하,KIA,4.39,0,0,2,0,441,1733,0.266,16,0,3,2,0,5,0
34,이재학,NC,5.77,0,0,6,0,437,1718,0.265,26,3,8,2,0,2,0
35,김진욱,롯데,5.31,0,0,3,0,388,1630,0.264,21,3,3,1,0,5,0
36,고영표,KT,5.12,0,0,9,0,440,1543,0.344,27,4,3,5,0,2,1
37,이승현,삼성,4.23,0,0,5,0,384,1528,0.264,11,1,4,4,0,4,0
38,바리아,한화,5.24,0,0,3,0,383,1525,0.299,18,1,2,3,0,6,0
39,나균안,롯데,8.5,0,0,2,0,376,1477,0.354,19,0,3,2,0,10,0
40,황준서,한화,5.4,0,0,1,0,340,1411,0.288,16,0,2,4,0,3,1
