순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,문보경,LG,0.296,143,597,514,77,152,35,3,20,253,95,3,13
1,박해민,LG,0.263,143,550,479,71,126,16,6,6,172,56,5,9
3,강백호,KT,0.287,142,603,540,88,155,25,0,25,255,94,0,2
3,로하스,KT,0.326,142,658,562,106,183,39,1,32,320,111,0,4
3,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3
6,레이예스,롯데,0.354,141,617,560,86,198,40,3,15,289,108,0,10
7,강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4
7,소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5
9,오스틴,LG,0.319,139,600,524,98,167,32,3,32,301,131,0,12
9,송성문,키움,0.341,139,587,513,84,175,28,4,19,268,103,0,8
11,홍창기,LG,0.335,138,633,520,95,174,18,3,5,213,73,1,4
11,김도영,KIA,0.35,138,611,532,141,186,29,10,38,349,107,1,7
11,윤동희,롯데,0.293,138,600,523,94,153,35,4,14,238,85,2,5
14,김현수,LG,0.292,136,580,514,61,150,36,2,8,214,68,1,9
14,서호철,NC,0.279,136,548,494,65,138,17,3,10,191,58,6,2
14,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8
14,박승욱,롯데,0.261,136,455,395,53,103,18,1,7,144,49,3,3
18,황재균,KT,0.261,135,527,486,60,127,22,0,13,188,57,5,1
18,박성한,SSG,0.295,135,555,482,75,142,24,0,10,196,65,3,6
18,김휘집,NC,0.265,135,540,472,76,125,24,1,16,199,72,4,7
18,김재환,두산,0.28,135,548,471,77,132,28,0,28,244,90,0,9
18,강민호,삼성,0.303,135,451,402,48,122,19,1,19,200,77,0,6
18,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1
24,에레디아,SSG,0.36,134,582,533,82,192,30,1,21,287,117,0,9
25,최원준,KIA,0.294,133,501,432,75,127,22,3,9,182,55,7,4
25,노시환,한화,0.269,133,589,516,88,139,18,2,24,233,87,0,4
27,구본혁,LG,0.255,132,385,337,47,86,14,1,2,108,42,4,4
27,박찬호,KIA,0.306,132,569,507,84,155,24,1,5,196,60,7,6
29,김주원,NC,0.259,131,460,371,61,96,18,2,9,145,49,9,5
29,이도윤,한화,0.28,131,366,329,48,92,10,3,1,111,45,6,3
31,한유섬,SSG,0.24,130,514,455,64,109,29,0,24,210,87,1,3
32,박동원,LG,0.273,129,496,432,58,118,22,0,20,200,80,2,7
32,장성우,KT,0.27,129,477,408,51,110,18,0,18,182,76,2,7
32,조수행,두산,0.266,129,381,327,60,87,5,2,0,96,30,14,4
35,데이비슨,NC,0.301,128,558,495,89,149,21,1,46,310,119,0,7
35,구자욱,삼성,0.343,128,567,492,92,169,39,1,33,309,115,2,6
37,신민재,LG,0.295,127,470,383,77,113,11,6,0,136,40,15,3
37,최정,SSG,0.29,127,541,459,91,133,27,2,35,269,101,0,7
37,최주환,키움,0.253,127,529,467,47,118,23,1,12,179,79,0,9
40,김성욱,NC,0.206,126,402,350,53,72,8,2,17,135,60,3,5
41,김영웅,삼성,0.252,125,506,453,65,114,16,3,28,220,79,1,4
41,안치홍,한화,0.298,125,523,463,64,138,19,0,13,196,66,1,4
41,김혜성,키움,0.325,125,557,501,88,163,25,4,11,229,73,0,7
44,문상철,KT,0.259,123,399,343,49,89,11,0,17,151,58,1,3
44,최지훈,SSG,0.277,123,541,481,89,133,22,7,11,202,49,6,2
44,권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6
44,김태연,한화,0.292,123,463,404,57,118,23,0,12,177,61,6,4
48,황성빈,롯데,0.317,122,392,353,91,112,15,8,4,155,25,6,1
49,이지영,SSG,0.279,121,424,391,43,109,11,1,5,137,49,7,2
49,이성규,삼성,0.241,121,352,299,55,72,10,1,21,147,56,4,3
49,채은성,한화,0.271,121,488,431,60,117,24,0,20,201,81,0,4
52,페라자,한화,0.277,120,518,452,75,125,24,0,24,221,70,0,2
52,황영묵,한화,0.303,120,385,346,52,105,8,4,3,130,35,3,1
54,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6
54,박병호,삼성,0.231,119,403,347,51,80,7,0,22,153,67,0,2
56,나승엽,롯데,0.307,118,479,398,56,122,33,4,6,181,62,2,7
57,박민우,NC,0.327,117,517,449,75,147,26,2,8,201,49,4,4
57,고승민,롯데,0.299,117,522,472,76,141,27,6,12,216,82,1,8
59,오태곤,SSG,0.272,116,284,243,41,66,14,0,9,107,36,6,3
