순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,레이예스,롯데,0.354,46,2,1,80,16,0.516,0.397,0.913,60,0.389,0.0
2,에레디아,SSG,0.36,27,3,13,73,12,0.538,0.399,0.937,58,0.426,0.0
3,김도영,KIA,0.35,64,7,7,109,10,0.656,0.421,1.077,57,0.314,0.5
4,로하스,KT,0.326,86,8,6,115,10,0.569,0.418,0.987,52,0.316,0.0
4,구자욱,삼성,0.343,55,4,12,72,6,0.628,0.418,1.046,52,0.341,0.0
6,홍창기,LG,0.335,96,3,12,93,8,0.41,0.446,0.856,50,0.392,1.0
7,오스틴,LG,0.319,61,6,3,82,9,0.574,0.385,0.959,49,0.331,0.0
7,소크라테스,KIA,0.31,41,4,4,91,7,0.516,0.359,0.875,49,0.336,0.0
9,박찬호,KIA,0.306,48,1,1,43,9,0.387,0.363,0.75,48,0.355,0.5
9,김혜성,키움,0.325,45,2,4,60,6,0.457,0.381,0.838,48,0.367,0.0
11,송성문,키움,0.341,63,2,3,78,5,0.522,0.411,0.933,46,0.37,0.333
12,김현수,LG,0.292,47,1,9,76,10,0.416,0.356,0.772,43,0.252,0.25
12,데이비슨,NC,0.301,39,5,17,140,12,0.626,0.367,0.993,43,0.259,0.0
14,강백호,KT,0.287,58,4,3,126,6,0.472,0.358,0.83,42,0.277,0.25
14,박민우,NC,0.327,51,4,9,78,5,0.448,0.404,0.852,42,0.306,0.0
14,정수빈,두산,0.284,71,1,9,72,8,0.361,0.376,0.737,42,0.248,0.0
14,김선빈,KIA,0.329,30,0,5,39,13,0.447,0.38,0.827,42,0.35,0.5
14,윤동희,롯데,0.293,65,1,5,113,10,0.455,0.373,0.828,42,0.316,0.25
14,안치홍,한화,0.298,49,1,6,70,9,0.423,0.37,0.793,42,0.319,1.0
20,박성한,SSG,0.295,62,3,2,86,11,0.407,0.373,0.78,40,0.292,0.167
20,고승민,롯데,0.299,40,0,1,77,10,0.458,0.349,0.807,40,0.304,1.0
22,문보경,LG,0.296,65,3,2,112,14,0.492,0.369,0.861,39,0.285,0.0
22,최지훈,SSG,0.277,50,0,2,70,5,0.42,0.346,0.766,39,0.245,0.333
22,강승호,두산,0.28,32,4,7,158,8,0.476,0.328,0.804,39,0.29,0.2
25,최정,SSG,0.29,55,1,20,113,10,0.586,0.384,0.97,38,0.281,0.0
25,허경민,두산,0.309,36,0,18,25,8,0.427,0.384,0.811,38,0.296,0.5
25,김지찬,삼성,0.316,60,2,9,40,5,0.384,0.405,0.789,38,0.24,0.333
25,도슨,키움,0.33,39,0,6,54,10,0.508,0.399,0.907,38,0.333,0.5
29,서호철,NC,0.279,30,0,16,98,15,0.387,0.339,0.726,37,0.243,0.0
29,양의지,두산,0.314,40,5,9,56,13,0.479,0.379,0.858,37,0.393,0.5
29,최원준,KIA,0.294,50,0,8,66,6,0.421,0.374,0.795,37,0.304,0.286
32,손호영,롯데,0.319,16,2,9,63,6,0.541,0.357,0.898,36,0.333,0.0
32,전준우,롯데,0.292,46,0,5,83,11,0.488,0.367,0.855,36,0.241,0.0
34,박해민,LG,0.263,46,0,11,100,3,0.359,0.336,0.695,35,0.234,0.25
34,이주형,키움,0.269,49,1,14,117,4,0.406,0.356,0.762,35,0.265,0.0
36,김민혁,KT,0.343,34,1,1,45,9,0.402,0.401,0.803,34,0.307,0.222
36,황재균,KT,0.261,33,0,2,93,15,0.387,0.31,0.697,34,0.24,0.2
36,양석환,두산,0.246,49,1,7,128,15,0.488,0.316,0.804,34,0.286,0.667
36,최형우,KIA,0.28,52,4,5,86,5,0.499,0.361,0.86,34,0.331,0.4
36,노시환,한화,0.269,58,8,11,128,10,0.452,0.353,0.805,34,0.299,0.0
36,페라자,한화,0.277,62,5,2,128,6,0.489,0.365,0.854,34,0.311,0.333
36,최주환,키움,0.253,47,2,6,92,11,0.383,0.323,0.706,34,0.301,0.0
43,김휘집,NC,0.265,48,1,9,115,16,0.422,0.34,0.762,33,0.294,0.0
43,박건우,NC,0.344,33,3,4,54,7,0.542,0.409,0.951,33,0.375,1.0
43,나성범,KIA,0.291,38,1,4,98,8,0.511,0.357,0.868,33,0.299,0.333
43,김태연,한화,0.292,45,0,4,86,9,0.438,0.365,0.803,33,0.295,0.0
47,나승엽,롯데,0.307,68,1,4,83,3,0.455,0.407,0.862,32,0.35,0.25
48,신민재,LG,0.295,64,1,5,47,7,0.355,0.4,0.755,31,0.309,0.333
48,권희동,NC,0.3,77,1,10,63,10,0.452,0.417,0.869,31,0.391,1.0
48,황성빈,롯데,0.317,30,0,2,55,3,0.439,0.373,0.812,31,0.317,0.375
48,강민호,삼성,0.303,35,2,8,51,17,0.498,0.366,0.864,31,0.274,0.19
52,이지영,SSG,0.279,18,0,6,35,10,0.35,0.319,0.669,30,0.267,0.182
53,배정대,KT,0.273,50,1,4,111,5,0.392,0.355,0.747,29,0.3,1.0
53,장성우,KT,0.27,59,1,1,85,8,0.446,0.358,0.804,29,0.265,0.133
53,김재환,두산,0.28,62,3,6,168,8,0.518,0.365,0.883,29,0.254,0.667
53,채은성,한화,0.271,46,1,7,83,12,0.466,0.348,0.814,29,0.266,0.0
57,한유섬,SSG,0.24,46,3,9,140,2,0.462,0.32,0.782,28,0.27,0.167
58,라모스,두산,0.305,27,1,3,60,5,0.482,0.36,0.842,27,0.257,0.0
58,이우성,KIA,0.293,42,0,3,85,17,0.407,0.363,0.77,27,0.271,1.0
58,박승욱,롯데,0.261,44,3,10,118,7,0.365,0.347,0.712,27,0.234,0.0
58,이재현,삼성,0.261,57,1,8,83,8,0.421,0.365,0.786,27,0.333,0.25
58,황영묵,한화,0.303,30,0,5,55,6,0.376,0.366,0.742,27,0.333,0.143
63,김주원,NC,0.259,50,1,25,106,4,0.391,0.379,0.77,26,0.253,0.0
63,김영웅,삼성,0.252,45,0,3,155,2,0.486,0.321,0.807,26,0.313,0.167
65,박동원,LG,0.273,55,2,0,112,13,0.463,0.35,0.813,25,0.27,0.5
66,문성주,LG,0.317,49,0,2,38,4,0.383,0.412,0.795,24,0.378,0.4
66,오지환,LG,0.254,51,0,4,106,8,0.411,0.35,0.761,24,0.243,0.0
66,맥키넌,삼성,0.294,39,3,1,33,6,0.386,0.381,0.767,24,0.27,0.0
69,문상철,KT,0.259,45,2,7,85,8,0.44,0.354,0.794,23,0.273,0.25
69,이도윤,한화,0.28,25,0,3,53,5,0.337,0.333,0.67,23,0.333,0.333
71,김상수,KT,0.278,37,0,6,58,12,0.381,0.353,0.734,22,0.289,0.333
71,손아섭,NC,0.29,16,0,0,63,1,0.402,0.319,0.721,22,0.275,0.2
71,조수행,두산,0.266,33,1,3,53,2,0.294,0.335,0.629,22,0.233,0.286
74,류지혁,삼성,0.26,33,0,6,70,7,0.327,0.343,0.67,21,0.279,0.143
75,추신수,SSG,0.282,37,0,4,68,2,0.405,0.375,0.78,20,0.286,0.143
75,김기연,두산,0.278,22,0,2,47,5,0.377,0.337,0.714,20,0.254,0.125
77,김헌곤,삼성,0.304,22,0,3,50,5,0.436,0.359,0.795,19,0.299,0.348
77,장진혁,한화,0.268,28,0,3,72,6,0.419,0.339,0.758,19,0.347,0.4
79,천성호,KT,0.295,18,0,1,43,5,0.368,0.346,0.714,18,0.346,0.2
79,하재훈,SSG,0.251,18,0,2,86,5,0.424,0.295,0.719,18,0.187,0.0
