선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
문보경,LG,0.296,143,597,514,77,152,35,3,20,253,95,3,13,65,3,2,112,14,0.492,0.369,0.861,39,0.285,0.0
박해민,LG,0.263,143,550,479,71,126,16,6,6,172,56,5,9,46,0,11,100,3,0.359,0.336,0.695,35,0.234,0.25
강백호,KT,0.287,142,603,540,88,155,25,0,25,255,94,0,2,58,4,3,126,6,0.472,0.358,0.83,42,0.277,0.25
로하스,KT,0.326,142,658,562,106,183,39,1,32,320,111,0,4,86,8,6,115,10,0.569,0.418,0.987,52,0.316,0.0
양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,49,1,7,128,15,0.488,0.316,0.804,34,0.286,0.667
레이예스,롯데,0.354,141,617,560,86,198,40,3,15,289,108,0,10,46,2,1,80,16,0.516,0.397,0.913,60,0.389,0.0
강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4,32,4,7,158,8,0.476,0.328,0.804,39,0.29,0.2
소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5,41,4,4,91,7,0.516,0.359,0.875,49,0.336,0.0
오스틴,LG,0.319,139,600,524,98,167,32,3,32,301,131,0,12,61,6,3,82,9,0.574,0.385,0.959,49,0.331,0.0
송성문,키움,0.341,139,587,513,84,175,28,4,19,268,103,0,8,63,2,3,78,5,0.522,0.411,0.933,46,0.37,0.333
홍창기,LG,0.335,138,633,520,95,174,18,3,5,213,73,1,4,96,3,12,93,8,0.41,0.446,0.856,50,0.392,1.0
김도영,KIA,0.35,138,611,532,141,186,29,10,38,349,107,1,7,64,7,7,109,10,0.656,0.421,1.077,57,0.314,0.5
윤동희,롯데,0.293,138,600,523,94,153,35,4,14,238,85,2,5,65,1,5,113,10,0.455,0.373,0.828,42,0.316,0.25
김현수,LG,0.292,136,580,514,61,150,36,2,8,214,68,1,9,47,1,9,76,10,0.416,0.356,0.772,43,0.252,0.25
서호철,NC,0.279,136,548,494,65,138,17,3,10,191,58,6,2,30,0,16,98,15,0.387,0.339,0.726,37,0.243,0.0
정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8,71,1,9,72,8,0.361,0.376,0.737,42,0.248,0.0
박승욱,롯데,0.261,136,455,395,53,103,18,1,7,144,49,3,3,44,3,10,118,7,0.365,0.347,0.712,27,0.234,0.0
황재균,KT,0.261,135,527,486,60,127,22,0,13,188,57,5,1,33,0,2,93,15,0.387,0.31,0.697,34,0.24,0.2
박성한,SSG,0.295,135,555,482,75,142,24,0,10,196,65,3,6,62,3,2,86,11,0.407,0.373,0.78,40,0.292,0.167
김휘집,NC,0.265,135,540,472,76,125,24,1,16,199,72,4,7,48,1,9,115,16,0.422,0.34,0.762,33,0.294,0.0
김재환,두산,0.28,135,548,471,77,132,28,0,28,244,90,0,9,62,3,6,168,8,0.518,0.365,0.883,29,0.254,0.667
강민호,삼성,0.303,135,451,402,48,122,19,1,19,200,77,0,6,35,2,8,51,17,0.498,0.366,0.864,31,0.274,0.19
김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1,60,2,9,40,5,0.384,0.405,0.789,38,0.24,0.333
에레디아,SSG,0.36,134,582,533,82,192,30,1,21,287,117,0,9,27,3,13,73,12,0.538,0.399,0.937,58,0.426,0.0
최원준,KIA,0.294,133,501,432,75,127,22,3,9,182,55,7,4,50,0,8,66,6,0.421,0.374,0.795,37,0.304,0.286
노시환,한화,0.269,133,589,516,88,139,18,2,24,233,87,0,4,58,8,11,128,10,0.452,0.353,0.805,34,0.299,0.0
구본혁,LG,0.255,132,385,337,47,86,14,1,2,108,42,4,4,36,0,4,50,7,0.32,0.331,0.651,15,0.265,0.5
박찬호,KIA,0.306,132,569,507,84,155,24,1,5,196,60,7,6,48,1,1,43,9,0.387,0.363,0.75,48,0.355,0.5
김주원,NC,0.259,131,460,371,61,96,18,2,9,145,49,9,5,50,1,25,106,4,0.391,0.379,0.77,26,0.253,0.0
이도윤,한화,0.28,131,366,329,48,92,10,3,1,111,45,6,3,25,0,3,53,5,0.337,0.333,0.67,23,0.333,0.333
한유섬,SSG,0.24,130,514,455,64,109,29,0,24,210,87,1,3,46,3,9,140,2,0.462,0.32,0.782,28,0.27,0.167
박동원,LG,0.273,129,496,432,58,118,22,0,20,200,80,2,7,55,2,0,112,13,0.463,0.35,0.813,25,0.27,0.5
장성우,KT,0.27,129,477,408,51,110,18,0,18,182,76,2,7,59,1,1,85,8,0.446,0.358,0.804,29,0.265,0.133
조수행,두산,0.266,129,381,327,60,87,5,2,0,96,30,14,4,33,1,3,53,2,0.294,0.335,0.629,22,0.233,0.286
데이비슨,NC,0.301,128,558,495,89,149,21,1,46,310,119,0,7,39,5,17,140,12,0.626,0.367,0.993,43,0.259,0.0
구자욱,삼성,0.343,128,567,492,92,169,39,1,33,309,115,2,6,55,4,12,72,6,0.628,0.418,1.046,52,0.341,0.0
신민재,LG,0.295,127,470,383,77,113,11,6,0,136,40,15,3,64,1,5,47,7,0.355,0.4,0.755,31,0.309,0.333
최정,SSG,0.29,127,541,459,91,133,27,2,35,269,101,0,7,55,1,20,113,10,0.586,0.384,0.97,38,0.281,0.0
최주환,키움,0.253,127,529,467,47,118,23,1,12,179,79,0,9,47,2,6,92,11,0.383,0.323,0.706,34,0.301,0.0
김성욱,NC,0.206,126,402,350,53,72,8,2,17,135,60,3,5,29,0,15,79,7,0.386,0.291,0.677,14,0.247,0.0
김영웅,삼성,0.252,125,506,453,65,114,16,3,28,220,79,1,4,45,0,3,155,2,0.486,0.321,0.807,26,0.313,0.167
안치홍,한화,0.298,125,523,463,64,138,19,0,13,196,66,1,4,49,1,6,70,9,0.423,0.37,0.793,42,0.319,1.0
김혜성,키움,0.325,125,557,501,88,163,25,4,11,229,73,0,7,45,2,4,60,6,0.457,0.381,0.838,48,0.367,0.0
문상철,KT,0.259,123,399,343,49,89,11,0,17,151,58,1,3,45,2,7,85,8,0.44,0.354,0.794,23,0.273,0.25
최지훈,SSG,0.277,123,541,481,89,133,22,7,11,202,49,6,2,50,0,2,70,5,0.42,0.346,0.766,39,0.245,0.333
권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6,77,1,10,63,10,0.452,0.417,0.869,31,0.391,1.0
김태연,한화,0.292,123,463,404,57,118,23,0,12,177,61,6,4,45,0,4,86,9,0.438,0.365,0.803,33,0.295,0.0
황성빈,롯데,0.317,122,392,353,91,112,15,8,4,155,25,6,1,30,0,2,55,3,0.439,0.373,0.812,31,0.317,0.375
이지영,SSG,0.279,121,424,391,43,109,11,1,5,137,49,7,2,18,0,6,35,10,0.35,0.319,0.669,30,0.267,0.182
이성규,삼성,0.241,121,352,299,55,72,10,1,21,147,56,4,3,31,0,15,108,5,0.492,0.339,0.831,15,0.284,0.174
채은성,한화,0.271,121,488,431,60,117,24,0,20,201,81,0,4,46,1,7,83,12,0.466,0.348,0.814,29,0.266,0.0
페라자,한화,0.277,120,518,452,75,125,24,0,24,221,70,0,2,62,5,2,128,6,0.489,0.365,0.854,34,0.311,0.333
황영묵,한화,0.303,120,385,346,52,105,8,4,3,130,35,3,1,30,0,5,55,6,0.376,0.366,0.742,27,0.333,0.143
양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6,40,5,9,56,13,0.479,0.379,0.858,37,0.393,0.5
박병호,삼성,0.231,119,403,347,51,80,7,0,22,153,67,0,2,47,0,7,120,13,0.441,0.333,0.774,16,0.248,0.267
나승엽,롯데,0.307,118,479,398,56,122,33,4,6,181,62,2,7,68,1,4,83,3,0.455,0.407,0.862,32,0.35,0.25
박민우,NC,0.327,117,517,449,75,147,26,2,8,201,49,4,4,51,4,9,78,5,0.448,0.404,0.852,42,0.306,0.0
고승민,롯데,0.299,117,522,472,76,141,27,6,12,216,82,1,8,40,0,1,77,10,0.458,0.349,0.807,40,0.304,1.0
오태곤,SSG,0.272,116,284,243,41,66,14,0,9,107,36,6,3,31,2,1,73,4,0.44,0.353,0.793,11,0.291,0.167
김형준,NC,0.195,116,408,348,39,68,12,0,17,131,50,7,6,45,0,2,142,6,0.376,0.287,0.663,15,0.19,0.25
김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0,30,0,5,39,13,0.447,0.38,0.827,42,0.35,0.5
최형우,KIA,0.28,116,487,425,67,119,23,2,22,212,109,0,5,52,4,5,86,5,0.499,0.361,0.86,34,0.331,0.4
김헌곤,삼성,0.304,116,310,280,43,85,8,1,9,122,34,4,1,22,0,3,50,5,0.436,0.359,0.795,19,0.299,0.348
허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6,36,0,18,25,8,0.427,0.384,0.811,38,0.296,0.5
최재훈,한화,0.259,114,342,274,33,71,10,0,4,93,36,8,6,33,0,21,57,10,0.339,0.374,0.713,14,0.247,1.0
김민혁,KT,0.343,113,382,341,44,117,13,2,1,137,32,3,3,34,1,1,45,9,0.402,0.401,0.803,34,0.307,0.222
김상수,KT,0.278,112,418,367,60,102,18,4,4,140,45,7,1,37,0,6,58,12,0.381,0.353,0.734,22,0.289,0.333
한준수,KIA,0.302,112,310,281,38,85,22,0,7,128,41,0,6,21,1,2,47,7,0.456,0.348,0.804,15,0.267,0.3
이주형,키움,0.269,112,522,458,80,123,18,3,13,186,58,0,1,49,1,14,117,4,0.406,0.356,0.762,35,0.265,0.0
